2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:28:22 INFO: Epoch[16] Iteration[41/46] Loss: 6.7031
2019-09-11 19:28:23 INFO: Epoch[16] Iteration[45/46] Loss: 6.6992
2019-09-11 19:28:59 INFO: Epoch[17] Iteration[1/46] Loss: 6.6967
2019-09-11 19:29:00 INFO: Epoch[17] Iteration[5/46] Loss: 6.6917
2019-09-11 19:29:02 INFO: Epoch[17] Iteration[9/46] Loss: 6.6870
2019-09-11 19:29:03 INFO: Epoch[17] Iteration[13/46] Loss: 6.6829
2019-09-11 19:29:04 INFO: Epoch[17] Iteration[17/46] Loss: 6.6784
2019-09-11 19:29:05 INFO: Epoch[17] Iteration[21/46] Loss: 6.6736
2019-09-11 19:29:07 INFO: Epoch[17] Iteration[25/46] Loss: 6.6696
2019-09-11 19:29:08 INFO: Epoch[17] Iteration[29/46] Loss: 6.6656
2019-09-11 19:29:09 INFO: Epoch[17] Iteration[33/46] Loss: 6.6614
2019-09-11 19:29:11 INFO: Epoch[17] Iteration[37/46] Loss: 6.6578
2019-09-11 19:29:12 INFO: Epoch[17] Iteration[41/46] Loss: 6.6534
2019-09-11 19:29:13 INFO: Epoch[17] Iteration[45/46] Loss: 6.6494
2019-09-11 19:29:49 INFO: Epoch[18] Iteration[1/46] Loss: 6.6477
2019-09-11 19:29:50 INFO: Epoch[18] Iteration[5/46] Loss: 6.6427
2019-09-11 19:29:52 INFO: Epoch[18] Iteration[9/46] Loss: 6.6384
2019-09-11 19:29:53 INFO: Epoch[18] Iteration[13/46] Loss: 6.6341
2019-09-11 19:29:54 INFO: Epoch[18] Iteration[17/46] Loss: 6.6295
2019-09-11 19:29:55 INFO: Epoch[18] Iteration[21/46] Loss: 6.6255
2019-09-11 19:29:57 INFO: Epoch[18] Iteration[25/46] Loss: 6.6207
2019-09-11 19:29:58 INFO: Epoch[18] Iteration[29/46] Loss: 6.6171
2019-09-11 19:29:59 INFO: Epoch[18] Iteration[33/46] Loss: 6.6129
2019-09-11 19:30:01 INFO: Epoch[18] Iteration[37/46] Loss: 6.6094
2019-09-11 19:30:02 INFO: Epoch[18] Iteration[41/46] Loss: 6.6052
2019-09-11 19:30:03 INFO: Epoch[18] Iteration[45/46] Loss: 6.6008
2019-09-11 19:30:39 INFO: Epoch[19] Iteration[1/46] Loss: 6.5989
2019-09-11 19:30:40 INFO: Epoch[19] Iteration[5/46] Loss: 6.5943
2019-09-11 19:30:41 INFO: Epoch[19] Iteration[9/46] Loss: 6.5903
2019-09-11 19:30:43 INFO: Epoch[19] Iteration[13/46] Loss: 6.5859
2019-09-11 19:30:44 INFO: Epoch[19] Iteration[17/46] Loss: 6.5817
2019-09-11 19:30:45 INFO: Epoch[19] Iteration[21/46] Loss: 6.5769
2019-09-11 19:30:47 INFO: Epoch[19] Iteration[25/46] Loss: 6.5724
2019-09-11 19:30:48 INFO: Epoch[19] Iteration[29/46] Loss: 6.5691
2019-09-11 19:30:49 INFO: Epoch[19] Iteration[33/46] Loss: 6.5651
2019-09-11 19:30:50 INFO: Epoch[19] Iteration[37/46] Loss: 6.5611
2019-09-11 19:30:52 INFO: Epoch[19] Iteration[41/46] Loss: 6.5573
2019-09-11 19:30:53 INFO: Epoch[19] Iteration[45/46] Loss: 6.5532
2019-09-11 19:31:29 INFO: Epoch[20] Iteration[1/46] Loss: 6.5511
2019-09-11 19:31:30 INFO: Epoch[20] Iteration[5/46] Loss: 6.5473
2019-09-11 19:31:31 INFO: Epoch[20] Iteration[9/46] Loss: 6.5430
2019-09-11 19:31:33 INFO: Epoch[20] Iteration[13/46] Loss: 6.5392
2019-09-11 19:31:34 INFO: Epoch[20] Iteration[17/46] Loss: 6.5356
2019-09-11 19:31:35 INFO: Epoch[20] Iteration[21/46] Loss: 6.5318
2019-09-11 19:31:36 INFO: Epoch[20] Iteration[25/46] Loss: 6.5277
2019-09-11 19:31:38 INFO: Epoch[20] Iteration[29/46] Loss: 6.5239
